timestamp,x,y,z
0,-0.86,2.85,-10.67
10,-1.09,2.91,-10.75
20,-1.33,3.1,-11.11
30,-1.69,3.31,-11.42
40,-2.19,3.58,-11.57
50,-2.88,4.06,-12.14
60,-3.42,4.31,-12.57
70,-3.93,4.4,-12.65
80,-4.24,4.62,-12.89
90,-4.49,4.42,-12.93
100,-4.53,4.28,-12.95
110,-4.35,4.05,-12.85
120,-4.08,3.75,-12.51
130,-3.86,3.5,-11.97
140,-3.75,3.2,-11.31
150,-3.64,2.94,-10.59
160,-3.59,2.72,-9.93
170,-3.44,2.5,-9.25
180,-3.23,2.21,-8.57
190,-2.98,1.92,-8.05
200,-2.61,1.55,-7.62
210,-2.01,1.12,-7.18
220,-1.24,0.62,-6.77
230,-0.42,0.1,-6.71
240,0.45,-0.49,-6.56
250,1.15,-0.98,-6.49
260,1.69,-1.19,-6.61
270,2.07,-1.2,-6.73
280,2.26,-0.82,-7.02
290,2.6,-0.58,-7.58
300,3.13,-0.42,-7.56
310,3.86,-0.24,-7.65
320,4.82,-0.01,-7.73
330,5.78,0.24,-7.72
340,6.47,0.63,-7.67
350,7.07,1.0,-7.95
360,7.42,1.42,-8.6
370,7.47,2.1,-9.8
380,7.73,2.51,-10.69
390,7.82,3.08,-11.56
400,7.37,3.76,-12.47
410,6.69,4.4,-13.72
420,5.51,4.93,-14.77
430,3.94,5.6,-15.86
440,2.26,6.17,-17.24
450,0.81,6.45,-18.45
460,-0.86,6.78,-19.24
470,-2.07,6.61,-19.67
480,-3.31,6.34,-19.91
490,-4.64,5.51,-19.97
500,-3.73,4.99,-18.41
510,-5.69,4.53,-15.84
520,-8.56,4.16,-19.43
530,-7.2,3.5,-17.27
540,-7.47,2.74,-16.69
550,-8.7,2.0,-15.77
560,-8.57,1.63,-15.63
570,-8.67,1.1,-14.31
580,-9.17,0.61,-12.88
590,-9.47,0.08,-12.24
600,-9.47,-0.2,-11.49
610,-9.6,-0.45,-10.87
620,-9.69,-0.92,-10.54
630,-9.25,-0.91,-9.25
640,-9.62,-1.3,-8.45
650,-9.05,-1.75,-8.34
660,-8.42,-1.75,-7.49
670,-7.98,-1.7,-7.15
680,-7.6,-1.72,-6.62
690,-7.03,-1.79,-6.33
700,-6.61,-1.97,-6.35
710,-6.08,-2.09,-6.44
720,-5.44,-2.23,-6.49
730,-4.78,-2.22,-6.47
740,-4.04,-2.18,-6.62
750,-3.36,-1.92,-6.22
760,-2.75,-1.86,-6.1
770,-2.0,-1.7,-5.65
780,-1.05,-1.53,-5.09
790,-0.33,-1.26,-4.89
800,0.42,-0.99,-4.9
810,1.22,-0.62,-4.97
820,2.01,-0.15,-5.04
830,2.61,0.22,-5.26
840,3.16,0.58,-5.54
850,3.73,1.14,-6.02
860,3.97,1.55,-6.64
870,4.25,2.05,-7.39
880,4.24,2.82,-8.54
890,4.28,3.68,-9.69
900,4.42,4.24,-10.6
910,4.74,4.49,-11.31
920,5.1,4.61,-11.5
930,5.51,4.75,-11.71
940,5.8,4.94,-12.01
950,5.9,4.91,-12.09
960,5.29,5.5,-11.99
970,5.43,5.43,-12.36
980,4.65,5.79,-12.45
990,4.08,5.68,-12.69
1000,3.12,5.75,-13.34
