timestamp,x,y,z
0,-5.19,10.02,-4.22
10,-5.53,9.94,-4.63
20,-5.47,9.68,-4.41
30,-5.08,9.33,-3.83
40,-4.53,8.99,-3.14
50,-3.87,8.9,-2.49
60,-3.12,8.81,-2.22
70,-2.4,8.64,-2.46
80,-1.31,8.56,-2.72
90,-0.28,8.24,-3.31
100,0.91,7.95,-3.6
110,2.12,7.81,-3.73
120,3.19,7.66,-3.52
130,4.52,7.54,-2.98
140,5.9,7.04,-2.64
150,7.61,6.56,-2.65
160,9.73,5.73,-2.87
170,11.59,4.43,-3.08
180,12.55,2.25,-2.86
190,12.34,0.01,-1.8
200,11.66,-3.42,-1.17
210,11.16,-6.71,-0.11
220,7.48,-9.89,1.57
230,4.69,-12.51,2.07
240,-0.58,-13.42,3.48
250,-7.0,-11.75,5.04
260,-14.34,-8.02,8.02
270,-19.84,-2.93,12.96
280,-21.93,0.7,18.13
290,-20.61,1.15,23.76
300,-18.01,1.43,28.39
310,-18.11,1.44,29.23
320,-18.91,1.39,28.21
330,-18.47,1.02,25.62
340,-17.71,0.83,23.76
350,-16.89,0.98,22.16
360,-15.8,1.11,19.73
370,-14.82,1.2,17.59
380,-13.16,0.96,15.84
390,-10.92,0.74,14.7
400,-8.46,-1.33,13.44
410,-6.09,-2.68,11.43
420,-4.77,-3.96,9.13
430,-4.49,-4.6,6.64
440,-4.51,-4.43,3.52
450,-5.64,-3.43,0.57
460,-6.34,-2.24,-2.06
470,-5.9,-1.28,-4.13
480,-4.98,-0.63,-5.77
490,-3.65,0.19,-6.82
500,-2.09,1.06,-7.59
510,-0.68,2.18,-8.26
520,0.48,3.39,-8.37
530,1.28,4.66,-8.27
540,1.53,5.77,-8.03
550,1.41,6.71,-7.76
560,1.62,7.35,-6.89
570,1.71,7.72,-6.39
580,1.34,8.13,-6.1
590,1.12,8.4,-5.61
600,0.95,8.57,-5.15
610,0.8,8.71,-4.96
620,0.57,8.79,-4.45
630,0.53,8.91,-3.62
640,0.71,8.94,-3.11
650,0.92,8.89,-3.02
660,1.1,9.07,-2.93
670,1.2,9.13,-2.95
680,1.23,9.22,-3.21
690,1.07,9.37,-3.47
700,0.79,9.48,-3.56
710,0.65,9.57,-3.59
720,0.55,9.57,-3.58
730,0.48,9.56,-3.51
740,0.32,9.51,-3.38
750,0.06,9.49,-3.23
760,-0.18,9.53,-2.92
770,-0.4,9.58,-2.67
780,-0.56,9.61,-2.59
790,-0.75,9.63,-2.56
800,-0.85,9.66,-2.4
810,-0.98,9.7,-2.46
820,-1.07,9.72,-2.7
830,-1.16,9.79,-2.95
840,-1.18,9.81,-3.06
850,-1.19,9.81,-3.15
860,-1.24,9.79,-3.15
870,-1.26,9.76,-2.84
880,-1.33,9.74,-2.46
890,-1.28,9.69,-2.31
900,-1.2,9.67,-2.43
910,-1.14,9.65,-2.65
920,-1.1,9.66,-2.79
930,-1.06,9.63,-2.94
940,-0.98,9.59,-3.16
950,-0.86,9.56,-3.35
960,-0.84,9.56,-3.3
970,-0.73,9.56,-2.92
980,-0.63,9.53,-2.75
990,-0.61,9.5,-2.68
1000,-0.6,9.44,-2.83
