timestamp,x,y,z
0,-2.53,2.77,-9.95
10,-2.46,2.8,-9.99
20,-2.43,2.83,-10.02
30,-2.43,2.85,-10.04
40,-2.42,2.86,-10.1
50,-2.44,2.81,-10.18
60,-2.52,2.83,-10.25
70,-2.53,2.83,-10.28
80,-2.53,2.77,-10.26
90,-2.52,2.73,-10.26
100,-2.49,2.71,-10.29
110,-2.48,2.68,-10.32
120,-2.48,2.65,-10.3
130,-2.45,2.62,-10.33
140,-2.47,2.62,-10.3
150,-2.5,2.62,-10.28
160,-2.5,2.65,-10.28
170,-2.53,2.71,-10.28
180,-2.49,2.76,-10.4
190,-2.48,2.82,-10.37
200,-2.51,2.89,-10.27
210,-2.57,3.04,-10.23
220,-2.62,3.21,-10.29
230,-2.65,3.34,-10.4
240,-2.58,3.44,-10.35
250,-2.59,3.74,-10.61
260,-2.39,3.96,-10.85
270,-2.24,4.15,-11.07
280,-2.08,4.24,-11.19
290,-1.91,4.25,-11.28
300,-1.86,4.15,-11.5
310,-1.57,4.46,-11.3
320,-2.08,4.43,-11.42
330,-1.87,4.4,-11.62
340,-1.83,4.46,-11.5
350,-1.85,4.5,-11.43
360,-1.73,4.42,-11.67
370,-1.56,4.32,-11.85
380,-1.3,4.25,-11.93
390,-1.13,4.1,-11.91
400,-1.08,3.98,-11.86
410,-1.16,3.89,-11.63
420,-1.27,3.81,-11.27
430,-1.35,3.79,-11.0
440,-1.36,3.68,-10.84
450,-1.34,3.62,-10.74
460,-1.38,3.53,-10.59
470,-1.45,3.5,-10.35
480,-1.51,3.48,-9.99
490,-1.6,3.46,-9.68
500,-1.79,3.48,-9.4
510,-1.97,3.4,-9.04
520,-2.13,3.38,-8.71
530,-2.29,3.34,-8.61
540,-2.49,3.32,-8.57
550,-2.73,3.26,-8.36
560,-3.06,3.21,-8.09
570,-3.51,3.23,-7.8
580,-3.94,3.07,-7.48
590,-4.3,2.93,-7.16
600,-4.54,2.63,-6.98
610,-4.7,2.15,-6.73
620,-4.76,1.63,-6.56
630,-4.9,1.06,-6.73
640,-4.95,0.56,-7.02
650,-5.42,0.17,-7.7
660,-6.16,-0.04,-8.32
670,-6.92,-0.06,-8.87
680,-7.84,-0.17,-9.04
690,-8.79,-0.09,-9.01
700,-9.58,0.0,-8.84
710,-10.22,-0.15,-8.88
720,-10.43,-0.19,-8.77
730,-10.21,-0.3,-8.51
740,-9.68,-0.16,-8.16
750,-9.27,-0.04,-7.77
760,-8.87,0.1,-7.62
770,-8.7,0.53,-7.52
780,-8.45,0.99,-7.41
790,-8.0,1.22,-7.51
800,-7.43,1.46,-7.67
810,-6.81,1.72,-7.99
820,-5.96,1.85,-8.3
830,-5.06,1.99,-8.66
840,-4.07,2.08,-9.03
850,-3.06,2.21,-9.33
860,-2.17,2.35,-9.74
870,-1.2,2.55,-10.2
880,-0.34,2.89,-10.79
890,0.61,3.17,-11.09
900,1.45,3.38,-11.51
910,2.14,3.64,-11.84
920,2.6,3.9,-12.15
930,3.2,4.24,-12.47
940,3.89,4.51,-12.64
950,4.44,4.74,-12.73
960,4.8,4.65,-12.9
970,4.83,4.71,-12.17
980,4.72,4.66,-11.83
990,4.62,4.41,-11.67
1000,4.75,4.17,-11.59
